codigo,region,fecha,positivos_acumulados,positivos_nuevos,en_uci,nuevos_pcrs_informados_lab,muertes_acumuladas,muertes_nuevas
3,Atacama,03/26/2020,1,0,,,,
4,Coquimbo,03/26/2020,13,1,,,,
5,Valparaíso,03/26/2020,44,12,,,,
13,Metropolitana,03/26/2020,746,64,,,,
6,O’Higgins,03/26/2020,14,3,,,,
7,Maule,03/26/2020,31,1,,,,
16,Ñuble,03/26/2020,114,3,,,,
8,Biobío,03/26/2020,109,14,,,,
9,Araucanía,03/26/2020,111,37,,,,
14,Los Ríos,03/26/2020,14,3,,,,
10,Los Lagos,03/26/2020,60,16,,,,
11,Aysén,03/26/2020,2,1,,,,
12,Magallanes,03/26/2020,19,6,,,,
15,Arica y Parinacota,03/27/2020,3,0,,,,
1,Tarapacá,03/27/2020,5,0,,,,
2,Antofagasta,03/27/2020,21,1,,,,
3,Atacama,03/27/2020,1,0,,,,
4,Coquimbo,03/27/2020,14,1,,,,
5,Valparaíso,03/27/2020,49,5,,,,
13,Metropolitana,03/27/2020,938,192,,,,
6,O’Higgins,03/27/2020,16,2,,,,
7,Maule,03/27/2020,32,1,,,,
16,Ñuble,03/27/2020,144,30,,,,
8,Biobío,03/27/2020,135,26,,,,
9,Araucanía,03/27/2020,143,32,,,,
14,Los Ríos,03/27/2020,22,8,,,,
10,Los Lagos,03/27/2020,63,3,,,,
11,Aysén,03/27/2020,2,0,,,,
12,Magallanes,03/27/2020,22,3,,,,
15,Arica y Parinacota,03/28/2020,3,0,,,,
1,Tarapacá,03/28/2020,5,0,,,,
2,Antofagasta,03/28/2020,25,4,,,,
3,Atacama,03/28/2020,1,0,,,,
4,Coquimbo,03/28/2020,15,1,,,,
5,Valparaíso,03/28/2020,71,22,,,,
13,Metropolitana,03/28/2020,1084,146,,,,
6,O’Higgins,03/28/2020,20,4,,,,
7,Maule,03/28/2020,37,5,,,,
16,Ñuble,03/28/2020,172,28,,,,
8,Biobío,03/28/2020,151,16,,,,
9,Araucanía,03/28/2020,177,34,,,,
14,Los Ríos,03/28/2020,27,5,,,,
10,Los Lagos,03/28/2020,93,30,,,,
