edad,sexo,region,confirmados
10 a 14,Mujer,Los Lagos,0
15 a 19,Mujer,Los Lagos,0
20 a 24,Mujer,Los Lagos,2
25 a 29,Mujer,Los Lagos,6
30 a 34,Mujer,Los Lagos,16
35 a 39,Mujer,Los Lagos,6
40 a 44,Mujer,Los Lagos,12
45 a 49,Mujer,Los Lagos,21
50 a 54,Mujer,Los Lagos,34
55 a 59,Mujer,Los Lagos,73
60 a 64,Mujer,Los Lagos,117
65 a 69,Mujer,Los Lagos,129
70 a 74,Mujer,Los Lagos,187
75 a 79,Mujer,Los Lagos,238
80 a 84,Mujer,Los Lagos,220
85 a 89,Mujer,Los Lagos,212
90 a 99,Mujer,Los Lagos,206
100 +,Mujer,Los Lagos,11
< 1,Hombre,Aysén,0
1 a 4,Hombre,Aysén,0
5 a 9,Hombre,Aysén,0
10 a 14,Hombre,Aysén,2
15 a 19,Hombre,Aysén,1
20 a 24,Hombre,Aysén,2
25 a 29,Hombre,Aysén,14
30 a 34,Hombre,Aysén,14
35 a 39,Hombre,Aysén,23
40 a 44,Hombre,Aysén,32
45 a 49,Hombre,Aysén,56
50 a 54,Hombre,Aysén,98
55 a 59,Hombre,Aysén,131
60 a 64,Hombre,Aysén,189
65 a 69,Hombre,Aysén,246
70 a 74,Hombre,Aysén,268
75 a 79,Hombre,Aysén,312
80 a 84,Hombre,Aysén,267
85 a 89,Hombre,Aysén,221
90 a 99,Hombre,Aysén,105
100 +,Hombre,Aysén,4
< 1,Mujer,Aysén,2
1 a 4,Mujer,Aysén,2
5 a 9,Mujer,Aysén,0
10 a 14,Mujer,Aysén,0
15 a 19,Mujer,Aysén,0
20 a 24,Mujer,Aysén,2
25 a 29,Mujer,Aysén,6
30 a 34,Mujer,Aysén,16
35 a 39,Mujer,Aysén,6
40 a 44,Mujer,Aysén,12
45 a 49,Mujer,Aysén,21
50 a 54,Mujer,Aysén,34
55 a 59,Mujer,Aysén,73
60 a 64,Mujer,Aysén,117
65 a 69,Mujer,Aysén,129
70 a 74,Mujer,Aysén,187
75 a 79,Mujer,Aysén,238
80 a 84,Mujer,Aysén,220
85 a 89,Mujer,Aysén,212
90 a 99,Mujer,Aysén,206
100 +,Mujer,Aysén,11
< 1,Hombre,Magallanes,0
1 a 4,Hombre,Magallanes,0
5 a 9,Hombre,Magallanes,0
10 a 14,Hombre,Magallanes,2
15 a 19,Hombre,Magallanes,1
20 a 24,Hombre,Magallanes,2
25 a 29,Hombre,Magallanes,14
30 a 34,Hombre,Magallanes,14
35 a 39,Hombre,Magallanes,23
40 a 44,Hombre,Magallanes,32
45 a 49,Hombre,Magallanes,56
50 a 54,Hombre,Magallanes,98
55 a 59,Hombre,Magallanes,131
60 a 64,Hombre,Magallanes,189
65 a 69,Hombre,Magallanes,246
70 a 74,Hombre,Magallanes,268
75 a 79,Hombre,Magallanes,312
80 a 84,Hombre,Magallanes,267
85 a 89,Hombre,Magallanes,221
90 a 99,Hombre,Magallanes,105
100 +,Hombre,Magallanes,4
< 1,Mujer,Magallanes,2
1 a 4,Mujer,Magallanes,2
5 a 9,Mujer,Magallanes,0
10 a 14,Mujer,Magallanes,0
15 a 19,Mujer,Magallanes,0
20 a 24,Mujer,Magallanes,2
25 a 29,Mujer,Magallanes,6
30 a 34,Mujer,Magallanes,16
35 a 39,Mujer,Magallanes,6
40 a 44,Mujer,Magallanes,12
45 a 49,Mujer,Magallanes,21
50 a 54,Mujer,Magallanes,34
55 a 59,Mujer,Magallanes,73
60 a 64,Mujer,Magallanes,117
65 a 69,Mujer,Magallanes,129
70 a 74,Mujer,Magallanes,187
75 a 79,Mujer,Magallanes,238
80 a 84,Mujer,Magallanes,220
85 a 89,Mujer,Magallanes,212
90 a 99,Mujer,Magallanes,206
100 +,Mujer,Magallanes,11
