edad,sexo,region,sospechosos
< 1,Mujer,Los Ríos,1
1 a 4,Mujer,Los Ríos,2
5 a 9,Mujer,Los Ríos,0
10 a 14,Mujer,Los Ríos,1
15 a 19,Mujer,Los Ríos,0
20 a 24,Mujer,Los Ríos,1
25 a 29,Mujer,Los Ríos,5
30 a 34,Mujer,Los Ríos,6
35 a 39,Mujer,Los Ríos,5
40 a 44,Mujer,Los Ríos,11
45 a 49,Mujer,Los Ríos,17
50 a 54,Mujer,Los Ríos,25
55 a 59,Mujer,Los Ríos,34
60 a 64,Mujer,Los Ríos,58
65 a 69,Mujer,Los Ríos,90
70 a 74,Mujer,Los Ríos,116
75 a 79,Mujer,Los Ríos,141
80 a 84,Mujer,Los Ríos,113
85 a 89,Mujer,Los Ríos,168
90 a 99,Mujer,Los Ríos,118
100 +,Mujer,Los Ríos,14
< 1,Hombre,Los Lagos,1
1 a 4,Hombre,Los Lagos,1
5 a 9,Hombre,Los Lagos,0
10 a 14,Hombre,Los Lagos,0
15 a 19,Hombre,Los Lagos,0
20 a 24,Hombre,Los Lagos,4
25 a 29,Hombre,Los Lagos,5
30 a 34,Hombre,Los Lagos,13
35 a 39,Hombre,Los Lagos,15
40 a 44,Hombre,Los Lagos,24
45 a 49,Hombre,Los Lagos,28
50 a 54,Hombre,Los Lagos,55
55 a 59,Hombre,Los Lagos,73
60 a 64,Hombre,Los Lagos,110
65 a 69,Hombre,Los Lagos,132
70 a 74,Hombre,Los Lagos,160
75 a 79,Hombre,Los Lagos,209
80 a 84,Hombre,Los Lagos,119
85 a 89,Hombre,Los Lagos,125
90 a 99,Hombre,Los Lagos,69
100 +,Hombre,Los Lagos,1
< 1,Mujer,Los Lagos,1
1 a 4,Mujer,Los Lagos,2
5 a 9,Mujer,Los Lagos,0
10 a 14,Mujer,Los Lagos,1
15 a 19,Mujer,Los Lagos,0
20 a 24,Mujer,Los Lagos,1
25 a 29,Mujer,Los Lagos,5
30 a 34,Mujer,Los Lagos,6
35 a 39,Mujer,Los Lagos,5
40 a 44,Mujer,Los Lagos,11
45 a 49,Mujer,Los Lagos,17
50 a 54,Mujer,Los Lagos,25
55 a 59,Mujer,Los Lagos,34
60 a 64,Mujer,Los Lagos,58
65 a 69,Mujer,Los Lagos,90
70 a 74,Mujer,Los Lagos,116
75 a 79,Mujer,Los Lagos,141
